game_id,home_bat_runs,home_bat_doubles,home_bat_triples,home_bat_homeRuns,home_bat_strikeOuts,home_bat_baseOnBalls,home_bat_hits,home_bat_avg,home_bat_atBats,home_bat_obp,home_bat_slg,home_bat_ops,home_bat_stolenBases,home_bat_rbi,home_bat_leftOnBase,home_pit_runs,home_pit_doubles,home_pit_triples,home_pit_homeRuns,home_pit_strikeOuts,home_pit_baseOnBalls,home_pit_hits,home_pit_atBats,home_pit_obp,home_pit_stolenBases,home_pit_numberOfPitches,home_pit_era,home_pit_inningsPitched,home_pit_earnedRuns,home_pit_pitchesThrown,home_pit_strikes,home_pit_rbi,home_starter_era,home_starter_ip,home_starter_k,home_starter_bb,home_starter_h,home_starter_er,home_starter_name,away_bat_runs,away_bat_doubles,away_bat_triples,away_bat_homeRuns,away_bat_strikeOuts,away_bat_baseOnBalls,away_bat_hits,away_bat_avg,away_bat_atBats,away_bat_obp,away_bat_slg,away_bat_ops,away_bat_stolenBases,away_bat_rbi,away_bat_leftOnBase,away_pit_runs,away_pit_doubles,away_pit_triples,away_pit_homeRuns,away_pit_strikeOuts,away_pit_baseOnBalls,away_pit_hits,away_pit_atBats,away_pit_obp,away_pit_stolenBases,away_pit_numberOfPitches,away_pit_era,away_pit_inningsPitched,away_pit_earnedRuns,away_pit_pitchesThrown,away_pit_strikes,away_pit_rbi,away_starter_era,away_starter_ip,away_starter_k,away_starter_bb,away_starter_h,away_starter_er,away_starter_name,game_date,home_team,away_team,home_score,away_score,winning_team,home_win,home_probable_pitcher,away_probable_pitcher
718758,1,1,0,1,10,1,5,.180,31,.254,.246,.500,0,1,11,3,1,0,0,13,4,6,32,.278,1,144,1.50,9.0,3,144,90,3,0.00,6.0,8,1,3,0,Steele,3,1,0,0,13,4,6,.164,32,.271,.180,.451,1,3,15,1,1,0,1,10,1,5,31,.188,0,143,2.65,9.0,1,143,97,1,1.50,6.0,8,1,3,1,Woodruff,2023-04-01,Chicago Cubs,Milwaukee Brewers,1,3,Milwaukee Brewers,0,,
718752,16,2,0,3,12,6,17,.375,40,.455,.625,1.080,0,15,23,3,4,1,0,7,3,9,34,.324,1,134,5.00,9.0,3,134,81,3,5.40,5.0,6,2,6,3,Eovaldi,3,4,1,0,7,3,9,.288,34,.333,.548,.881,1,3,15,16,2,0,3,12,6,17,40,.480,0,220,12.94,8.0,13,220,126,15,8.31,4.1,7,1,7,4,Wheeler,2023-04-01,Texas Rangers,Philadelphia Phillies,16,3,Texas Rangers,1,,
718753,1,1,0,1,11,3,5,.206,30,.282,.286,.568,0,1,11,7,0,0,4,8,2,11,35,.351,0,152,5.50,9.0,7,152,96,6,9.00,5.0,4,2,7,5,"Gray, Js",7,0,0,4,8,2,11,.307,35,.373,.493,.866,0,6,10,1,1,0,1,11,3,5,30,.242,0,125,1.50,9.0,1,125,87,1,0.00,6.0,9,3,3,0,Strider,2023-04-01,Washington Nationals,Atlanta Braves,1,7,Atlanta Braves,0,,
718762,5,2,0,2,9,3,10,.261,37,.311,.464,.775,1,4,17,7,3,0,2,13,3,12,39,.386,2,185,3.50,9.0,7,185,117,7,8.10,3.1,5,1,5,3,Schmidt,7,3,0,2,13,3,12,.232,39,.312,.362,.674,2,7,22,5,2,0,2,9,3,10,37,.325,1,156,4.76,9.0,4,156,98,4,2.45,3.2,6,1,4,1,Cobb,2023-04-01,New York Yankees,San Francisco Giants,5,7,San Francisco Giants,0,,
718757,1,0,0,1,5,3,5,.186,30,.273,.271,.544,0,1,14,13,2,0,1,7,6,11,36,.386,0,154,6.50,9.0,12,154,92,13,30.86,2.1,4,3,5,8,Fujinami,13,2,0,1,7,6,11,.239,36,.329,.313,.642,0,13,8,1,0,0,1,5,3,5,30,.242,0,127,1.59,9.0,1,127,81,1,1.80,5.0,2,2,2,1,Sandoval,2023-04-01,Oakland Athletics,Los Angeles Angels,1,13,Los Angeles Angels,0,,
718761,9,3,1,4,8,2,11,.306,37,.378,.597,.975,0,8,11,8,3,0,3,11,4,13,38,.419,5,162,9.00,9.0,8,162,99,8,21.00,3.0,6,2,7,7,Sale,8,3,0,3,11,4,13,.368,38,.473,.658,1.131,5,8,17,9,3,1,4,8,2,11,37,.366,0,152,7.64,8.2,7,152,96,8,15.00,3.0,3,1,6,5,Kremer,2023-04-01,Boston Red Sox,Baltimore Orioles,9,8,Boston Red Sox,1,,
718756,6,1,0,3,8,3,6,.206,30,.306,.460,.766,1,6,5,2,1,0,0,12,2,7,34,.250,0,151,3.50,9.0,2,151,94,2,3.60,5.0,9,2,7,2,Lodolo,2,1,0,0,12,2,7,.203,34,.316,.281,.597,0,2,9,6,1,0,3,8,3,6,30,.273,1,132,5.29,8.0,6,132,83,6,5.40,5.0,7,2,3,3,"Hill, R",2023-04-01,Cincinnati Reds,Pittsburgh Pirates,6,2,Cincinnati Reds,1,,
718754,12,7,0,1,15,7,13,.292,36,.403,.538,.941,0,12,22,2,2,0,0,10,2,6,34,.222,0,138,1.00,9.0,2,138,95,2,1.80,5.0,5,1,3,1,Eflin,2,2,0,0,10,2,6,.182,34,.239,.242,.481,0,2,13,12,7,0,1,15,7,13,36,.489,0,191,9.00,8.0,12,191,116,12,27.00,2.1,3,3,8,7,Turnbull,2023-04-01,Tampa Bay Rays,Detroit Tigers,12,2,Tampa Bay Rays,1,,
718751,0,1,0,0,5,5,4,.105,30,.250,.140,.390,0,0,21,2,1,0,0,8,2,5,31,.206,0,127,1.50,9.0,1,127,79,2,1.69,5.1,2,2,5,1,Lyles,2,1,0,0,8,2,5,.235,31,.293,.279,.572,0,2,11,0,1,0,0,5,5,4,30,.257,0,132,0.00,9.0,0,132,86,0,0.00,5.0,1,4,3,0,"Gray, S",2023-04-01,Kansas City Royals,Minnesota Twins,0,2,Minnesota Twins,0,,
718755,2,2,0,1,12,3,10,.255,36,.298,.449,.747,0,2,18,6,5,0,1,5,6,12,38,.400,1,176,4.00,9.0,6,176,104,6,4.50,4.0,2,6,2,2,"Cabrera, E",6,5,0,1,5,6,12,.242,38,.339,.374,.713,1,6,26,2,2,0,1,12,3,10,36,.333,0,152,2.42,9.0,2,152,91,2,3.60,5.0,7,2,6,2,Megill,2023-04-01,Miami Marlins,New York Mets,2,6,New York Mets,0,,
